family,condition,scenario,method,seed,overall_completion_rate,routine_bulk_completion_rate,time_critical_lightweight_completion_rate,pwct_seconds,runtime_seconds,terminal_battery_rescue,runtime_crash_count,uav_drop_count,crash_count,physical_v2_uav_drop_count,physical_v2_forced_landing_count,physical_v2_uav_drop_runtime_count,UAV_DROP,FORCED_LANDING,MISSION_ABORT,ENERGY_EXHAUSTION,RECOVERY_FAILURE,uav_airborne_safety_abort_count,hard_constraint_violation_count,hard_failure_component_sum_not_unique,hard_failure_any
E1,island_off,LB,ER-HLNS,102,0.95,0.875,1.0,4048.231341625056,156.43806099999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,103,0.75,0.875,0.6666666666666666,9609.472157602826,156.30097120000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,104,0.4,0.125,0.5833333333333334,16977.016812969396,176.2084967,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,105,0.75,0.375,1.0,6301.335011816864,154.47219969999998,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,106,0.8,0.625,0.9166666666666666,7592.168152481795,170.16803140000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,107,0.95,1.0,0.9166666666666666,3618.30953411414,148.21982780000008,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,108,0.7,0.75,0.6666666666666666,11001.604222147862,107.64631350000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS,109,0.8,0.625,0.9166666666666666,6323.857140542913,143.5095708,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS-parallel-rescue,100,0.75,0.625,0.8333333333333334,8562.881296676864,96.2692439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS-parallel-rescue,101,0.5,0.25,0.6666666666666666,13974.637039147186,138.611356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS-parallel-rescue,102,0.95,0.875,1.0,3528.5197375855973,146.0407315,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS-parallel-rescue,103,0.8,0.75,0.8333333333333334,7143.619726957565,143.51193460000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS-parallel-rescue,104,0.45,0.25,0.5833333333333334,16109.251117509808,211.93131800000003,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS-parallel-rescue,105,0.75,0.375,1.0,6295.719422172149,149.47717869999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS-parallel-rescue,106,0.95,0.875,1.0,3501.8858043500272,121.82103989999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS-parallel-rescue,107,0.9,0.75,1.0,3921.280252039609,136.5853462,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS-parallel-rescue,108,0.55,0.5,0.5833333333333334,14105.166926376469,103.2618877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_off,LB,ER-HLNS-parallel-rescue,109,0.85,0.625,1.0,5125.999801102034,139.03704750000009,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,ER-HLNS,100,0.8,0.75,0.8333333333333334,7621.926701186507,93.1323828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,ER-HLNS,101,0.65,0.875,0.5,13579.959565970314,93.8982295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,ER-HLNS,102,0.6,0.375,0.75,11926.089488816868,133.23422290000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,ER-HLNS,103,0.8,1.0,0.6666666666666666,9960.048011254572,142.5520764,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,ER-HLNS,104,0.6,0.625,0.5833333333333334,13266.602867466678,149.2870773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,ER-HLNS,105,0.75,0.5,0.9166666666666666,7511.950076641092,144.6766386,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,ER-HLNS,106,0.85,0.75,0.9166666666666666,6890.920952791016,155.91258929999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,ER-HLNS,107,0.9,0.75,1.0,2877.825430290181,139.13927689999997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,ER-HLNS,108,0.6,0.625,0.5833333333333334,13534.39860040403,122.3002302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,ER-HLNS,109,0.7,0.625,0.75,9508.002235395765,139.03681540000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E1,island_on,LB,ER-HLNS-parallel-rescue,100,0.85,0.75,0.9166666666666666,6237.740001369447,103.33091069999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
