scenario,method,seed,completed_tasks,overall_completion_rate,routine_bulk_completion_rate,time_critical_lightweight_completion_rate,pwct_seconds,weighted_service_score,runtime_seconds
LB,ER-HLNS,103,16,0.8,1.0,0.666666666666667,9960.04801125457,0.5143912830985,144.9767581
LB,ER-HLNS,104,12,0.6,0.625,0.583333333333333,13266.6028674667,0.397243631050787,152.4736111
LB,ER-HLNS,105,15,0.75,0.5,0.916666666666667,7511.95007664109,0.470893614637034,146.7839529
LB,ER-HLNS,106,17,0.85,0.75,0.916666666666667,6890.92095279102,0.475539679185722,153.970426
LB,ER-HLNS,107,18,0.9,0.75,1.0,2877.82543029018,0.726866172102879,151.361441
LB,ER-HLNS,108,12,0.6,0.625,0.583333333333333,13534.398600404,0.366104227623903,169.4076249
LB,ER-HLNS,109,14,0.7,0.625,0.75,9508.00223539576,0.588304125724076,181.1715896
LB,ER-HLNS-PR,100,17,0.85,0.75,0.916666666666667,6237.74000136945,0.598010913483512,85.3958693
LB,ER-HLNS-PR,101,14,0.7,0.75,0.666666666666667,11425.327810886,0.475346069713237,140.0113522
LB,ER-HLNS-PR,102,14,0.7,0.375,0.916666666666667,8470.9231962534,0.457425701464323,138.2555409
LB,ER-HLNS-PR,103,16,0.8,1.0,0.666666666666667,9043.59998834118,0.509923173510035,139.9362156
LB,ER-HLNS-PR,104,12,0.6,0.625,0.583333333333333,13263.3918148046,0.371369558307473,159.1454599
LB,ER-HLNS-PR,105,16,0.8,0.625,0.916666666666667,7052.87753356981,0.496191528481749,142.4839236
LB,ER-HLNS-PR,106,16,0.8,0.625,0.916666666666667,7016.59672155657,0.422717128608194,129.8042054
LB,ER-HLNS-PR,107,19,0.95,0.875,1.0,2479.1447763591,0.735321974697637,150.0354532
LB,ER-HLNS-PR,108,13,0.65,0.625,0.666666666666667,11710.6351842265,0.367867766579217,177.9827667
LB,ER-HLNS-PR,109,15,0.75,0.625,0.833333333333333,7785.58642826552,0.625155265962063,164.4879722
LB,Greedy,100,15,0.75,0.75,0.75,9273.45036621707,0.566286239028631,70.7316941
LB,Greedy,101,10,0.5,0.5,0.5,15738.8464401604,0.344471566777679,68.5118906
LB,Greedy,102,13,0.65,0.75,0.583333333333333,12306.9497822924,0.483423428131345,76.4842468000001
LB,Greedy,103,15,0.75,1.0,0.583333333333333,11235.6246640705,0.461415757268079,72.3427595000001
LB,Greedy,104,9,0.45,0.5,0.416666666666667,16696.2843413076,0.311370685446965,70.4202226
LB,Greedy,105,13,0.65,0.75,0.583333333333333,12380.4949665762,0.472954403433335,78.2937313
LB,Greedy,106,13,0.65,0.625,0.666666666666667,11178.4877808691,0.424462803196461,58.026809
LB,Greedy,107,14,0.7,0.75,0.666666666666667,9808.55945685025,0.550373997643819,69.7787602000003
LB,Greedy,108,14,0.7,0.875,0.583333333333333,11000.8601545233,0.468070688609444,61.1120265
LB,Greedy,109,17,0.85,0.875,0.833333333333333,6517.34780862673,0.669081380343516,69.6497946999998
LB,PG,100,14,0.7,0.75,0.666666666666667,11364.196384874,0.48146125650881,78.5826423
LB,PG,101,10,0.5,0.875,0.25,18382.514537882,0.324814386057608,72.6115242
LB,PG,102,10,0.5,0.375,0.583333333333333,15507.7218271434,0.322770413770877,58.9595148
LB,PG,103,15,0.75,1.0,0.583333333333333,11367.9219564665,0.484390851298138,36.4245927000002
LB,PG,104,12,0.6,0.875,0.416666666666667,14924.8761858447,0.403024675710875,74.0975343
LB,PG,105,14,0.7,0.75,0.666666666666667,11223.5778244236,0.465674401829109,76.5480619
LB,PG,106,13,0.65,0.75,0.583333333333333,12480.2071716425,0.393155454272213,60.8753561999997
LB,PG,107,14,0.7,0.75,0.666666666666667,9895.30193057684,0.580028064756968,59.9325567999999
LB,PG,108,9,0.45,0.625,0.333333333333333,17446.2035739084,0.304917745410411,83.6476206000002
LB,PG,109,10,0.5,0.375,0.583333333333333,14879.3939852567,0.3968854798696,72.4177070999999
M,C-ALNS,100,12,1.0,1.0,1.0,922.528107726777,0.937030421752479,2.1060889
M,C-ALNS,101,12,1.0,1.0,1.0,580.804937078614,0.94146063085533,3.98232179999999
M,C-ALNS,102,12,1.0,1.0,1.0,726.917602178167,0.94500551555836,2.05428640000002
M,C-ALNS,103,12,1.0,1.0,1.0,901.174198582411,0.951477234647315,2.87748709999994
M,C-ALNS,104,12,1.0,1.0,1.0,686.709534914754,0.940725721155931,2.22246040000005
M,C-ALNS,105,12,1.0,1.0,1.0,708.640781486804,0.948899515735904,2.01437549999991
M,C-ALNS,106,12,1.0,1.0,1.0,665.779427466541,0.931603009986173,9.80243759999985
M,C-ALNS,107,12,1.0,1.0,1.0,673.580595391457,0.944804381033282,2.1188474999999
M,C-ALNS,108,12,1.0,1.0,1.0,777.318290335947,0.938136258097077,4.14398870000014
M,C-ALNS,109,12,1.0,1.0,1.0,1093.61021564336,0.91485378746395,9.96574640000017
M,DR-ALNS,100,12,1.0,1.0,1.0,1096.94421569573,0.934320570689401,2.7347591
M,DR-ALNS,101,12,1.0,1.0,1.0,601.495555130805,0.94084082931293,2.13179109999999
M,DR-ALNS,102,12,1.0,1.0,1.0,731.980486878286,0.944506019645834,2.4131331000001
M,DR-ALNS,103,12,1.0,1.0,1.0,815.575109594907,0.951071291195516,2.69115520000003
M,DR-ALNS,104,12,1.0,1.0,1.0,844.409794107162,0.924689287051229,2.97656729999994
M,DR-ALNS,105,12,1.0,1.0,1.0,738.356351396155,0.940339390614813,1.9888676999999
M,DR-ALNS,106,12,1.0,1.0,1.0,661.303266992946,0.935024396365661,1.92474530000027
M,DR-ALNS,107,12,1.0,1.0,1.0,679.977528908458,0.942985060115335,2.36332159999984
M,DR-ALNS,108,12,1.0,1.0,1.0,694.577197346418,0.95479324809099,8.05638450000015
M,DR-ALNS,109,12,1.0,1.0,1.0,1004.12797581599,0.939818797115584,8.36416660000032
M,ER-HLNS,100,12,1.0,1.0,1.0,1232.89562209586,0.942547274702578,2.3266353
M,ER-HLNS,101,12,1.0,1.0,1.0,920.659605039759,0.935001660012576,3.90734999999999
M,ER-HLNS,102,12,1.0,1.0,1.0,885.509965211679,0.93977926475379,4.23274759999998
M,ER-HLNS,103,12,1.0,1.0,1.0,971.113932380653,0.952410263486429,3.15299200000004
M,ER-HLNS,104,12,1.0,1.0,1.0,689.7576315685,0.941899631033303,3.52410709999998
M,ER-HLNS,105,12,1.0,1.0,1.0,886.723195927728,0.944083668792865,4.19955500000003
M,ER-HLNS,106,12,1.0,1.0,1.0,913.417968098217,0.918560415633663,4.20581449999997
M,ER-HLNS,107,12,1.0,1.0,1.0,891.274820662666,0.933996655359619,2.59836129999997
M,ER-HLNS,108,12,1.0,1.0,1.0,951.05610002676,0.948559712601903,3.95175210000002
M,ER-HLNS,109,12,1.0,1.0,1.0,1055.17713947684,0.939404361181809,4.01124000000004
M,ER-HLNS-PR,100,12,1.0,1.0,1.0,1232.89562209586,0.942547274702578,2.3271257
M,ER-HLNS-PR,101,12,1.0,1.0,1.0,893.213974736135,0.935001660012576,3.89413039999999
M,ER-HLNS-PR,102,12,1.0,1.0,1.0,908.229203373031,0.93977926475379,4.10205829999998
M,ER-HLNS-PR,103,12,1.0,1.0,1.0,920.30643944686,0.952410263486429,3.47129719999998
